,year,country,sex,suicides_no,population,HDIforyear,gdp_for_year($),gdp_per_capita($),unemployment,depression_rate,suicides_per_100K
2606,2003,South Africa,female,63,21673133,,175256916996,4132,39.3246002197266,4.162107392059999,0.2906824777017702
2607,2003,South Africa,male,193,20742176,,175256916996,4132,27.082899093627898,3.21402929109,0.9304713256699779
2608,2003,Spain,female,828,20378624,,906853273138,22701,15.683199882507301,4.38370859435,4.0630810009547265
2609,2003,Spain,male,2650,19568932,,906853273138,22701,8.27340030670166,2.3635023282599996,13.541873414451029
2610,2003,Sri Lanka,female,934,8866412,,18881765437,1077,12.8999996185303,3.94950288915,10.534137145893965
2611,2003,Sri Lanka,male,3533,8658184,,18881765437,1077,5.92000007629395,3.15636995944,40.805323610586235
2612,2003,Suriname,female,19,217046,,1271196078,2916,,4.65149489645,8.753904702229022
2613,2003,Suriname,male,58,218900,,1271196078,2916,,3.15208375562,26.496116948378255
2614,2003,Sweden,female,336,4293850,,331108912605,38997,5.00880002975464,5.90697738107,7.8251452659035605
2615,2003,Sweden,male,776,4196689,,331108912605,38997,6.05359983444214,3.15131475135,18.490767364462794
2616,2003,Switzerland,female,421,3571180,,352914820747,50639,4.48699998855591,5.14264409722,11.788820501906933
2617,2003,Switzerland,male,848,3398113,,352914820747,50639,3.80920004844666,2.7041214377999996,24.95502651030145
2618,2003,Thailand,female,1059,30619866,,152280653544,2531,1.4400000572204599,3.6153911652900006,3.458538975970698
2619,2003,Thailand,male,3425,29539085,,152280653544,2531,1.62000000476837,2.57722309086,11.594807354391648
2620,2003,Trinidad and Tobago,female,35,602598,,11305459802,9465,13.8100004196167,3.85820213703,5.808183897059068
2621,2003,Trinidad and Tobago,male,109,591860,,11305459802,9465,8.300000190734862,2.8226468859500002,18.416517419660057
2622,2003,Turkmenistan,female,82,2128938,,5977560877,1431,,3.35326458444,3.8516856761446316
2623,2003,Turkmenistan,male,295,2048802,,5977560877,1431,,2.3184108290900003,14.398658337896977
2624,2003,Ukraine,female,2150,24672581,,50132953288,1097,,5.1100633986,8.714126827671576
2625,2003,Ukraine,male,10163,21024802,,50132953288,1097,,3.5926965456100004,48.33814844011373
2626,2003,United Kingdom,female,929,28796142,,2038395102041,36289,4.0637001991272,4.90580459996,3.226126610988375
2627,2003,United Kingdom,male,3050,27375629,,2038395102041,36289,5.4278998374939,3.32575385939,11.141296515963159
2628,2003,United States,female,6281,138109635,,11510670000000,42468,5.66529989242554,5.99452371696,4.547836217219747
2629,2003,United States,male,25196,132931875,,11510670000000,42468,6.270999908447269,3.52016275231,18.954069518691437
2630,2003,Uruguay,female,123,1591567,,12045631093,3929,20.635299682617198,4.2521002906700005,7.728232616031873
2631,2003,Uruguay,male,412,1474205,,12045631093,3929,13.3084001541138,2.58008000289,27.947266492787637
2632,2003,Uzbekistan,female,379,11551839,,10128112401,441,,3.408052955710001,3.2808628998378526
2633,2003,Uzbekistan,male,1037,11431044,,10128112401,441,,2.36412099601,9.071787318813575
2634,2004,Albania,female,57,1447609,,7314865176,2544,17.5,2.76075441037,3.9375273295482414
2635,2004,Albania,male,89,1427382,,7314865176,2544,12.3999996185303,1.6579224096799998,6.235191420376605
2636,2004,Antigua and Barbuda,female,0,41837,,919577148,11535,,3.06456271586,0.0
2637,2004,Antigua and Barbuda,male,2,37885,,919577148,11535,,1.99803054884,5.279134221987594
2638,2004,Argentina,female,654,18031399,,164657930453,4683,15.7447004318237,4.54802635618,3.6270064236280284
2639,2004,Argentina,male,2467,17131546,,164657930453,4683,11.8341999053955,2.6921828075200005,14.40033491431538
2640,2004,Aruba,female,1,48567,,2228279330,24133,,,2.0590112627916075
2641,2004,Aruba,male,7,43768,,2228279330,24133,,,15.993419850118809
