,country,year,age,suicides/100k pop,depression
194,Argentina,1997,25-34 years,5.785,4.5014076010699995
195,Argentina,1997,35+ years,14.541666666666666,4.620892948480001
196,Argentina,1998,14- years,0.53,1.84060969232
197,Argentina,1998,15-24 years,6.82,4.653828061175
198,Argentina,1998,25-34 years,6.0600000000000005,4.512722126155
199,Argentina,1998,35+ years,15.018333333333333,4.6157221864033335
200,Argentina,1999,14- years,0.595,1.85291293608
201,Argentina,1999,15-24 years,6.975,4.687021046785
202,Argentina,1999,25-34 years,6.185,4.526248097055
203,Argentina,1999,35+ years,14.946666666666665,4.609820170616666
204,Argentina,2000,14- years,0.565,1.8601778828400002
205,Argentina,2000,15-24 years,8.785,4.714707678090001
206,Argentina,2000,25-34 years,7.565,4.533793805055
207,Argentina,2000,35+ years,16.26,4.603113651689999
208,Argentina,2001,14- years,0.76,1.86409477459
209,Argentina,2001,15-24 years,10.335,4.734607609965
210,Argentina,2001,25-34 years,8.535,4.53648663972
211,Argentina,2001,35+ years,17.38333333333333,4.592719704743334
212,Argentina,2002,14- years,0.8600000000000001,1.87047714801
213,Argentina,2002,15-24 years,10.555,4.76151682467
214,Argentina,2002,25-34 years,9.11,4.538996661875
215,Argentina,2002,35+ years,16.395,4.579895397746667
216,Argentina,2003,14- years,0.89,1.8744904391599997
217,Argentina,2003,15-24 years,12.32,4.787843618715
218,Argentina,2003,25-34 years,9.215,4.543155436505
219,Argentina,2003,35+ years,16.90666666666667,4.563432591120001
220,Argentina,2004,14- years,0.975,1.8795451797599998
221,Argentina,2004,15-24 years,12.235,4.805103389445
222,Argentina,2004,25-34 years,9.28,4.5509853817499994
223,Argentina,2004,35+ years,14.346666666666666,4.549219802500001
224,Argentina,2005,14- years,1.045,1.8863017794099999
225,Argentina,2005,15-24 years,11.809999999999999,4.82336404412
226,Argentina,2005,25-34 years,9.23,4.551684598075
227,Argentina,2005,35+ years,14.001666666666665,4.53660622944
228,Argentina,2006,14- years,0.935,1.89228896372
229,Argentina,2006,15-24 years,12.445,4.833437244465
230,Argentina,2006,25-34 years,9.58,4.552052376200001
231,Argentina,2006,35+ years,13.716666666666663,4.526641771766666
232,Argentina,2007,14- years,1.135,1.89921473003
233,Argentina,2007,15-24 years,10.75,4.851123178785
234,Argentina,2007,25-34 years,9.86,4.55303004422
235,Argentina,2007,35+ years,12.476666666666668,4.516536853976667
236,Argentina,2008,14- years,0.8400000000000001,1.90402586223
237,Argentina,2008,15-24 years,11.875,4.86544695566
238,Argentina,2008,25-34 years,9.854999999999999,4.551371261545
239,Argentina,2008,35+ years,12.161666666666667,4.508332905583334
240,Argentina,2009,14- years,0.8899999999999999,1.9114490304400003
241,Argentina,2009,15-24 years,11.315,4.87936252171
242,Argentina,2009,25-34 years,9.495,4.547072710395
243,Argentina,2009,35+ years,10.653333333333334,4.499023846066667
244,Argentina,2010,14- years,0.75,1.9116397461
245,Argentina,2010,15-24 years,12.12,4.8810603533700005
246,Argentina,2010,25-34 years,9.065,4.556957723915
247,Argentina,2010,35+ years,11.228333333333333,4.495428685886666
248,Argentina,2011,14- years,0.81,1.9117815635900002
249,Argentina,2011,15-24 years,12.530000000000001,4.887574942755
250,Argentina,2011,25-34 years,9.405000000000001,4.55495194085
251,Argentina,2011,35+ years,10.063333333333334,4.49197071863
252,Argentina,2012,14- years,0.645,1.9138133355000002
253,Argentina,2012,15-24 years,13.715,4.886528936625
254,Argentina,2012,25-34 years,11.005,4.55901946973
255,Argentina,2012,35+ years,11.514999999999999,4.490019490286667
256,Argentina,2013,14- years,0.91,1.91621453125
257,Argentina,2013,15-24 years,12.445,4.889609720605
258,Argentina,2013,25-34 years,9.205,4.5654122124650005
259,Argentina,2013,35+ years,9.716666666666667,4.489762314696667
260,Argentina,2014,14- years,0.96,1.92065636788
261,Argentina,2014,15-24 years,13.575,4.898678818675
262,Argentina,2014,25-34 years,9.93,4.57196253794
263,Argentina,2014,35+ years,10.403333333333334,4.488000577216667
264,Argentina,2015,14- years,0.8,1.9217998519599997
265,Argentina,2015,15-24 years,11.625,4.903151070365
266,Argentina,2015,25-34 years,8.825000000000001,4.581043346794999
267,Argentina,2015,35+ years,11.605000000000002,4.48968616553
268,Armenia,1990,14- years,0.0,1.00183156187
269,Armenia,1990,15-24 years,2.415,2.373761854395
270,Armenia,1990,25-34 years,3.23,2.7928973624
271,Armenia,1990,35+ years,4.971666666666667,4.47639985795
272,Armenia,1991,14- years,0.0,0.9997548807969999
273,Armenia,1991,15-24 years,1.015,2.3650796617500003
274,Armenia,1991,25-34 years,3.77,2.7772837811899995
275,Armenia,1991,35+ years,6.050000000000001,4.46913404842
276,Armenia,1992,14- years,0.0,1.00032696424
277,Armenia,1992,15-24 years,1.67,2.358917358885
278,Armenia,1992,25-34 years,2.4,2.763052193445
279,Armenia,1992,35+ years,5.453333333333333,4.47001271658
280,Armenia,1993,14- years,0.0,1.00095550229
281,Armenia,1993,15-24 years,1.66,2.3517536982199996
282,Armenia,1993,25-34 years,3.675,2.7556869300100004
283,Armenia,1993,35+ years,6.73,4.47658312865
284,Armenia,1994,14- years,0.395,1.00165782841
285,Armenia,1994,15-24 years,1.645,2.349119045
286,Armenia,1994,25-34 years,1.84,2.75229949514
287,Armenia,1994,35+ years,9.828333333333335,4.484897801023333
288,Armenia,1995,14- years,0.13,1.00202841011
289,Armenia,1995,15-24 years,2.09,2.3502346029699996
290,Armenia,1995,25-34 years,5.38,2.7493710784950003
291,Armenia,1995,35+ years,6.098333333333333,4.49524081922
292,Armenia,1996,14- years,0.265,1.00205959922
293,Armenia,1996,15-24 years,0.785,2.350769522625
294,Armenia,1996,25-34 years,2.785,2.7576610258150005
295,Armenia,1996,35+ years,4.896666666666666,4.5004887411
296,Armenia,1997,14- years,0.13,1.0036791387700001
297,Armenia,1997,15-24 years,0.61,2.357632971325
298,Armenia,1997,25-34 years,1.765,2.7625984804
299,Armenia,1997,35+ years,4.536666666666666,4.504949690836667
300,Armenia,1998,14- years,0.135,1.00444906361
301,Armenia,1998,15-24 years,0.595,2.3672075988000003
302,Armenia,1998,25-34 years,1.245,2.77293119505
303,Armenia,1998,35+ years,3.9116666666666657,4.510139148196667
304,Armenia,1999,14- years,0.0,1.00671178171
305,Armenia,1999,15-24 years,0.87,2.38306810926
306,Armenia,1999,25-34 years,1.42,2.7890527214049996
307,Armenia,1999,35+ years,3.35,4.518223257653333
308,Armenia,2000,14- years,0.0,1.00825041703
309,Armenia,2000,15-24 years,0.84,2.393661975945
