,country,year,suicides/100k pop,depression,Rural area
1166,Mauritius,2011,9.723333333333333,3.5132396234116667,58.556
1167,Mauritius,2012,9.287916666666666,3.508503478291667,58.668
1168,Mauritius,2013,8.262083333333333,3.501072462365417,58.778
1169,Mauritius,2014,10.324583333333333,3.498039153557917,58.889
1170,Mauritius,2015,8.46625,3.4949681350783335,59.0
1171,Mauritius,2016,10.607777777777777,4.135198387300556,59.09
1172,Mexico,1990,3.174583333333333,2.6016315933003336,28.581000000000003
1173,Mexico,1991,3.2529166666666667,2.6040664379146667,28.183999999999997
1174,Mexico,1992,3.550416666666667,2.607317072807083,27.790999999999997
1175,Mexico,1993,3.521666666666667,2.6118833866655002,27.402
1176,Mexico,1994,3.835,2.6165061133384167,27.015
1177,Mexico,1995,4.179583333333333,2.620748836423333,26.632000000000005
1178,Mexico,1996,4.027916666666667,2.6277722601765836,26.33
1179,Mexico,1997,4.31875,2.63833428463525,26.070999999999998
1180,Mexico,1998,4.256666666666666,2.6514365722424165,25.813999999999993
1181,Mexico,1999,4.117083333333333,2.663890428467,25.558999999999997
1182,Mexico,2000,4.1379166666666665,2.6743113803841667,25.278000000000006
1183,Mexico,2001,4.609166666666667,2.683375315086,24.955
1184,Mexico,2002,4.405,2.6939334705096667,24.635
1185,Mexico,2003,4.6674999999999995,2.7044359901723336,24.317999999999998
1186,Mexico,2004,4.520416666666667,2.71274555891,24.003
1187,Mexico,2005,4.664166666666667,2.7179036516990003,23.691999999999993
1188,Mexico,2006,4.487500000000001,2.7159797364940834,23.384
1189,Mexico,2007,4.410416666666667,2.708301581669917,23.08
1190,Mexico,2008,4.669583333333334,2.698415148943333,22.778000000000006
1191,Mexico,2009,4.899166666666667,2.6889068870445003,22.48
1192,Mexico,2010,4.69625,2.684708805075,22.185
1193,Mexico,2011,5.2666666666666675,2.6858186425807498,21.888999999999996
1194,Mexico,2012,5.039583333333333,2.6915260366905,21.595
1195,Mexico,2013,5.139583333333333,2.7007405473320834,21.301000000000002
1196,Mexico,2014,5.451666666666666,2.7131592540281666,21.007000000000005
1197,Mexico,2015,5.4504166666666665,2.72870550929875,20.715
1198,Mongolia,2016,20.21388888888889,4.388470849232223,31.703000000000003
1199,Montenegro,2000,0.0,2.63087683077075,41.456
1200,Montenegro,2001,0.0,2.6291680849484167,40.441
1201,Montenegro,2002,0.0,2.626782820696417,39.432
1202,Montenegro,2003,0.0,2.6247955474991667,38.432
1203,Montenegro,2004,0.0,2.6190797153658334,37.873
1204,Montenegro,2005,15.6875,2.617570858178417,37.535
1205,Montenegro,2006,0.0,2.6148762435113335,37.197
1206,Montenegro,2007,17.747083333333332,2.6134902603361665,36.861
1207,Montenegro,2008,17.280416666666667,2.6108213525710005,36.525
1208,Montenegro,2009,12.91625,2.6075185689750002,36.192
